"","gbifid_","family_","genus_","species_","infraspecificepithet_","taxonrank_","scientificname_","verbatimscientificname_","province_","count_","latitude_","longitude_","date_"
"643",370329489,"Apidae","Diadasia","Diadasia sp.","","GENUS","Diadasia Patton, 1879","Diadasia sp.","Texas",1,NA,NA,1975-03-28
"644",4439388930,"Andrenidae","Andrena","Andrena sp.","","GENUS","Andrena Fabricius, 1775","Andrena confederata||''||Viereck","Florida",1,29.743333,-82.213611,1975-04-21
"645",4439396017,"Colletidae","Colletes","Colletes sp.","","GENUS","Colletes Latreille, 1802","Colletes distinctus||''||Cresson","Florida",1,29.743056,-82.213611,1975-04-24
"646",1141869869,"Andrenidae","Calliopsis","Calliopsis sp.","","GENUS","Nomadopsis Ashmead, 1898","Calliopsis (Nomadopsis)","California",NA,NA,NA,1975-05-11
"647",657641093,"Apidae","Nomada","Nomada sp.","","GENUS","Nomada Scopoli, 1770","Nomada (erigeronis group) frieseana","Colorado",NA,40.015,-105.27,1975-06-05
"648",1141861444,"Halictidae","Seladonia","Seladonia sp.","","GENUS","Seladonia Robertson, 1918","Halictus (Seladonia)","California",NA,41.98028,-120.2081,1975-07-04
"649",2864425307,"Apidae","Apis","Apis sp.","","GENUS","Apis Linnaeus, 1758","Apis sp.","California",1,38.42,-120.82,1975-07-18
"650",3801896721,"Andrenidae","Protandrena","Protandrena sp.","","GENUS","Protandrena Cockerell, 1896","Protandrena (Pterosarus) didirupa (Cockerell, 1908)","Wyoming",1,41.08028,-105.50694,1975-07-31
"651",3801896518,"Andrenidae","Perdita","Perdita sp.","","GENUS","Perdita Smith, 1853","Perdita luteiventris Timberlake","Wyoming",1,41.08028,-105.50694,1975-08-07
"652",3349233429,"Apidae","Eucera","Eucera sp.","","GENUS","Eucera Scopoli, 1770","Eucera citrullina","",NA,NA,NA,1975-08-08
"653",872534735,"Apidae","Brachynomada","Brachynomada sp.","","GENUS","Brachynomada Holmberg, 1886","Brachynomada (Melanomada)","Arizona",NA,31.9505,-109.1317,1975-08-15
"654",3801385690,"Megachilidae","Megachile","Megachile sp.","","GENUS","Megachile Latreille, 1802","Megachile (Xanthosarus) densitarsis Sladen, 1919","Wyoming",1,NA,NA,1975-08-19
"655",4439379635,"Andrenidae","Perdita","Perdita sp.","","GENUS","Perdita Smith, 1853","Perdita gerardiae||''||Crawford","Florida",1,29.06023,-82.18078,1975-08-27
"656",4439384116,"Andrenidae","Perdita","Perdita sp.","","GENUS","Perdita Smith, 1853","Perdita nubila||''||Timberlake","Florida",1,29.53831,-81.95198,1975-09-10
"657",4439383661,"Colletidae","Colletes","Colletes sp.","","GENUS","Colletes Latreille, 1802","Colletes thysanellae||''||Mitchell","Florida",1,29.5291,-81.9696,1975-09-10
"658",4439385417,"Andrenidae","Perdita","Perdita sp.","","GENUS","Perdita Smith, 1853","Perdita blatchleyi||''||Timberlake","Florida",1,29.53831,-81.95198,1975-09-10
"659",4439392868,"Colletidae","Colletes","Colletes sp.","","GENUS","Colletes Latreille, 1802","Colletes longifacies||''||Stephen","Florida",1,29.52154,-81.9736,1975-09-10
"660",4439392134,"Colletidae","Colletes","Colletes sp.","","GENUS","Colletes Latreille, 1802","Colletes mitchelli||''||Stephen","Florida",1,29.06023,-82.18078,1975-10-08
"661",4439380015,"Colletidae","Colletes","Colletes sp.","","GENUS","Colletes Latreille, 1802","Colletes howardi||''||Swenk","Florida",1,29.06023,-82.18078,1975-10-13
"662",4439397840,"Andrenidae","Andrena","Andrena sp.","","GENUS","Andrena Fabricius, 1775","Andrena miserabilis||''||Cresson","Florida",1,29.52154,-81.9736,1976-02-19
"663",4439387880,"Andrenidae","Andrena","Andrena sp.","","GENUS","Andrena Fabricius, 1775","Andrena dimorpha||''||Mitchell","Florida",1,29.63438,-82.37143,1976-03-08
